,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
77,Mahindra Scorpio,2018-08-01,Comprehensive,Diesel,7,47000,First Owner,Manual,15.4,2179.0,13678.0,14.5
78,Kia Seltos GTX,2020-06-01,Comprehensive,Petrol,5,59316,First Owner,Automatic,16.2,1353.0,138.0,13.99
79,Toyota Yaris J,2021-04-01,Comprehensive,Petrol,5,48000,Third Owner,Manual,17.1,1496.0,1055.0,6.95
80,BMW 5 Series 530i M Sport,2023-11-01,Zero Dep,Petrol,5,20000,First Owner,Automatic,14.82,1998.0,24808.0,65.0
81,Renault KWID Climber 1.0 AMT,2020-12-01,Third Party insurance,Petrol,5,12503,First Owner,Automatic,22.0,999.0,67.0,5.15
82,Jeep Compass 1.4 Sport,2021-06-01,Comprehensive,Petrol,5,10000,First Owner,Manual,14.3,1368.0,16077.0,15.95
83,Maruti Swift 1.2 VXi,2011-05-01,Comprehensive,Petrol,5,73717,Second Owner,Manual,16.1,1197.0,85.0,2.41
84,Honda Jazz V,2017-10-01,Comprehensive,Petrol,5,17000,First Owner,Automatic,17.1,1199.0,8850.0,5.95
85,Hyundai Grand i10 AT,2014-11-01,Comprehensive,Petrol,5,36047,First Owner,Automatic,18.9,1197.0,82.0,4.32
86,Maruti Wagon R CNG,2018-02-01,Comprehensive,CNG,5,45000,First Owner,Manual,998.0,5833.0,78.0,4.45
87,Hyundai i10,2016-07-01,Comprehensive,Petrol,5,50000,Second Owner,Manual,20.36,1197.0,789.0,3.45
88,Maruti Swift,2018-08-01,Comprehensive,Petrol,5,51000,First Owner,Manual,22.0,1197.0,8180.0,5.5
89,Mahindra XUV500,2018-07-01,Third Party,Diesel,7,62000,Second Owner,Manual,2179.0,15287.0,360.0,8.5
90,Toyota Camry 2.5,2017-07-01,Third Party insurance,Petrol,5,45000,First Owner,Automatic,19.16,2494.0,1577.0,22.5
91,Hyundai i20 Asta Opt Turbo DCT,2021-08-01,Comprehensive,Petrol,5,17041,First Owner,Automatic,20.28,998.0,11841.0,10.49
92,Mahindra XUV500 W6 1.99,2018-11-01,Comprehensive,Diesel,7,49000,First Owner,Manual,16.0,1997.0,140.0,9.25
93,Hyundai Venue SX,2020-08-01,Comprehensive,Petrol,5,23588,First Owner,Manual,18.27,998.0,11835.0,9.2
94,Mercedes-Benz CLA Urban Sport,2018-10-01,Comprehensive,Diesel,5,50000,Second Owner,Automatic,17.9,2143.0,1341.0,22.0
